Approved by,Barcode,Brand,Building,CAS,Container type,Date in,Expire,Group,Hazard Classification,Region specific hazard code(s),Hazard code(s),Hazard Label(s),Laboratory,Location,Location path,Lot Number,Product name,NFPA Label,Note (Item),Note (Product),Responsible person,Packaging group,PPE,Precautionary statement(s),Product number,Proposed location,Purity (%),Quantity,Net Quantity,Quantity unit,Current quantity (Net),Normalized quantity,Normalized current quantity,Normalized unit,Hazard Signal Word,Site,State,Storage temperature,Sublocation,Tags,Transport hazard class 1,Transport hazard class 2,Transport hazard class 3,UN number,German Water Hazard Class (WGK),Molecular weight,InChI,CID,Iupac Name,Lagerklasse (TRGS 510),Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration,Component - CAS,Component - name,Component - concentration
,10300,TCI America,Materials Innovation Factory,327-92-4,,19/10/2021,,Cooper Group,"Acute toxicity, Oral (Category 2);Germ cell mutagenicity (Category 2)",,H300;H341,GHS_06;GHS_08,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,"1,5-Difluoro-2,4-dinitrobenzene",,,,Qiang Zhu (qzhu),II,,,D1649,,97%,25g,25,g,25g,25,25,g,Danger,,Solid,ROOM,,,6.1,,,2811,,204.09,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,"1,5-difluoro-2,4-dinitrobenzene",,,,,,,,,,,,,
,3950,Aldrich,Materials Innovation Factory,327-92-4,,02/10/2018,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H300;H311;H331;H373,GHS_06;GHS_08,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,"1,5-Difluoro-2,4-dinitrobenzene",,,,Qiang Zhu (qzhu),II,,P261;P264;P280;P301 + P310;P311,D102504,,97,10 g,10,g,,10,,g,Danger,,Solid,,,,6.1,,,2811,,204.0879974,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,,,,,,,,,,,,,,
,7995,Aldrich,Materials Innovation Factory,327-92-4,,15/11/2018,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H300;H311;H331;H373,GHS_06;GHS_08,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),BCBT,"1,5-Difluoro-2,4-dinitrobenzene",,,,Qiang Zhu (qzhu),II,,P261;P264;P280;P301 + P310;P311,D102504,,97,10 g,10,g,,10,,g,Danger,,Solid,,,,6.1,,,2811,,204.0879974,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,,,,,,,,,,,,,,
,8319,Aldrich,Materials Innovation Factory,327-92-4,,08/02/2019,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H300;H311;H331;H373,GHS_06;GHS_08,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),BCBw9106,"1,5-Difluoro-2,4-dinitrobenzene",,,,Qiang Zhu (qzhu),II,,P261;P264;P280;P301 + P310;P311,D102504,,97,100g,100,g,,100,,g,Danger,,Solid,,,,6.1,,,2811,,204.0879974,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,,,,,,,,,,,,,,
,8414,TCI,Materials Innovation Factory,327-92-4,,26/02/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,"1,5-Difluoro-2,4-dinitrobenceno ≥97%",,,,Qiang Zhu (qzhu),II,,,D1694,,97,25 g,25,g,,25,,g,,,Solid,,,,6.1,,,2811,,204.0879974,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,,,,,,,,,,,,,,
,8706,Aldrich,Materials Innovation Factory,327-92-4,,16/05/2019,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H300;H311;H331;H373,GHS_06;GHS_08,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,"1,5-Difluoro-2,4-dinitrobenzene",,,,Qiang Zhu (qzhu),II,,P261;P264;P280;P301 + P310;P311,D102504,,97,10 g,10,g,,10,,g,Danger,,Solid,,,,6.1,,,2811,,204.0879974,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,,,,,,,,,,,,,,
,9069,Aldrich,Materials Innovation Factory,327-92-4,,08/10/2019,,Cooper Group,"Specific target organ toxicity - repeated exposure (Category 2);Acute toxicity, Dermal (Category 3);Acute toxicity, Inhalation (Category 3)",,H300;H311;H331;H373,GHS_06;GHS_08,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,"1,5-Difluoro-2,4-dinitrobenzene",,,,Qiang Zhu (qzhu),II,,P261;P264;P280;P301 + P310;P311,D102504,,97,10 g,10,g,10 g,10,10,g,Danger,,Solid,,,,6.1,,,2811,,204.0879974,InChI=1S/C6H2F2N2O4/c7-3-1-4(8)6(10(13)14)2-5(3)9(11)12/h1-2H,67598,,,,,,,,,,,,,,
,4212,Fluorochem,Materials Innovation Factory,32779-37-6,,17/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,FC03 (White cupboard),FC03 (White cupboard),,"2,5-DIBROMOPYRIMIDINE",,,,Xue Wang (xwang),,,,078311,,,10 g,10,g,,10,,g,,,,,,,,,,0,,237.8820038,InChI=1S/C4H2Br2N2/c5-3-1-7-4(6)8-2-3/h1-2H,10955588,,,,,,,,,,,,,,
,11651,TCI America,Materials Innovation Factory,3278-31-7,,10/01/2022,,Cooper Group,"Acute toxicity, Oral (Category 4)",,H302,GHS_07,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,"N,N'-1,4-Phenylenedimaleimide",,,,Qiang Zhu (qzhu),,,,P0778,,98%,1g,1,g,1g,1,1,g,Warning,,Solid,,,,,,,,,268.23,InChI=1S/C14H8N2O4/c17-11-5-6-12(18)15(11)9-1-2-10(4-3-9)16-13(19)7-8-14(16)20/h1-8H,76765,"1-[4-(2,5-dioxopyrrol-1-yl)phenyl]pyrrole-2,5-dione",,,,,,,,,,,,,
,8103,Aldrich,Materials Innovation Factory,328090-25-1,,14/12/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC21 (White cupboard),FC21 (White cupboard),,1-Ethyl-3-methylimidazolium tosylte,,,,Aiting Kai (akai),,,,89155-5g-f,,,5g,5,g,,5,,g,,,Liquid,,,,,,,,,282.3649902,"InChI=1S/C7H8O3S.C6H11N2/c1-6-2-4-7(5-3-6)11(8,9)10;1-3-8-5-4-7(2)6-8/h2-5H,1H3,(H,8,9,10);4-6H,3H2,1-2H3/q;+1/p-1",10636633,,,,,,,,,,,,,,
,3544,Aldrich,Materials Innovation Factory,3282-30-2,,17/11/2017,,Cooper Group,"Skin corrosion/irritation (Category 1B);Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Acute toxicity, Inhalation (Category 2)",EUH014,H225;H302;H314;H330,GHS_02;GHS_05;GHS_06,Synthetic Laboratory,Highly Toxic Chemicals,Highly Toxic Chemicals,,Trimethylacetyl chloride,,,,Marc Little (malittle),I,,P210;P260;P280;P303 + P361 + P353;P304 + P340 + P310;P305 + P351 + P338;P403 + P233,t72605-100ml,,,100 ml,100,ml,,100,,ml,Danger,,Liquid,ROOM,,,6.1,3,8,2438,,120.5790024,"InChI=1S/C5H9ClO/c1-5(2,3)4(6)7/h1-3H3",62493,,,,,,,,,,,,,,
,5863,Aldrich,Materials Innovation Factory,3282-30-2,,13/10/2017,,Cooper Group,"Skin corrosion/irritation (Category 1B);Flammable liquids (Category 2);Acute toxicity, Oral (Category 4);Acute toxicity, Inhalation (Category 2)",EUH014,H225;H302;H314;H330,GHS_02;GHS_05;GHS_06,Synthetic Laboratory,Anhydrous Acids FC26,Anhydrous Acids FC26,STBC9866V,Trimethylacetyl chloride,,,,Marc Little (malittle),I,,P210;P260;P280;P303 + P361 + P353;P304 + P340 + P310;P305 + P351 + P338;P403 + P233,T72605-5ML,,,5 ml,5,ml,,5,,ml,Danger,,Liquid,,,,6.1,3,8,2438,,120.5790024,"InChI=1S/C5H9ClO/c1-5(2,3)4(6)7/h1-3H3",62493,,,,,,,,,,,,,,
,4552,Aldrich,Materials Innovation Factory,32993-05-8,,16/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 1,Cupboard 3 > Box 1,,Chlorocyclopentadienylbis(triphenylphosphine)ruthenium(II),,,,Rob Clowes (rob123),,,,333158-1G,,,1 g,1,g,,1,,g,,,,ROOM,,,,,,0,,726.2020264,InChI=1S/2C18H15P.C5H5.ClH.Ru/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;1-2-4-5-3-1;;/h2*1-15H;1-5H;1H;/q;;-1;;+2/p-1,53384301,,,,,,,,,,,,,,
,4362,Aldrich,Materials Innovation Factory,32993-05-8,,19/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Fridge 3,Fridge 3,,Chlorocyclopentadienylbis(triphenylphosphine)ruthe,,,,Marc Little (malittle),,,,333158-1G,,,1 g,1,g,,1,,g,,,,ROOM,,,,,,0,,726.2020264,InChI=1S/2C18H15P.C5H5.ClH.Ru/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;1-2-4-5-3-1;;/h2*1-15H;1-5H;1H;/q;;-1;;+2/p-1,53384301,,,,,,,,,,,,,,
,4366,Aldrich,Materials Innovation Factory,32993-05-8,,19/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Fridge 3,Fridge 3,,Chlorocyclopentadienylbis(triphenylphosphine)ruthe,,,,Marc Little (malittle),,,,333158-1G,,,1 g,1,g,,1,,g,,,,ROOM,,,,,,0,,726.2020264,InChI=1S/2C18H15P.C5H5.ClH.Ru/c2*1-4-10-16(11-5-1)19(17-12-6-2-7-13-17)18-14-8-3-9-15-18;1-2-4-5-3-1;;/h2*1-15H;1-5H;1H;/q;;-1;;+2/p-1,53384301,,,,,,,,,,,,,,
,7025,Aldrich,Materials Innovation Factory,33040-12-9,,17/11/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Fridge 3,Fridge 3,,Diiodo(pentamethylcyclopentadienyl)iridium(III) dimer,,,,Ying Yang (ying yang),,,,752223,,,1g,1,g,,1,,g,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
,3723,Aldrich,Materials Innovation Factory,33100-27-5,,02/05/2018,,Cooper Group,"Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2)",,H302;H315;H319,GHS_07,Synthetic Laboratory,FC29 (White Cupboard),FC29 (White Cupboard),BCBT8867,15-Crown-5,,,,Rob Clowes (rob123),,,P305 + P351 + P338,188832-25G,,,25 g,25,g,,25,,g,Warning,,Liquid,ROOM,,,,,,0,,220.2649994,InChI=1S/C10H20O5/c1-2-12-5-6-14-9-10-15-8-7-13-4-3-11-1/h1-10H2,36336,,,,,,,,,,,,,,
,3724,Aldrich,Materials Innovation Factory,33100-27-5,,02/05/2018,,Cooper Group,"Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2)",,H302;H315;H319,GHS_07,Synthetic Laboratory,FC29 (White Cupboard),FC29 (White Cupboard),BCBT8867,15-Crown-5,,,,Rob Clowes (rob123),,,P305 + P351 + P338,188832-25G,,,25 g,25,g,,25,,g,Warning,,Liquid,ROOM,,,,,,0,,220.2649994,InChI=1S/C10H20O5/c1-2-12-5-6-14-9-10-15-8-7-13-4-3-11-1/h1-10H2,36336,,,,,,,,,,,,,,
,7698,Fluorochem,Materials Innovation Factory,332411-18-4,,08/08/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,FC07 (White cupboard),FC07 (White cupboard),FCB068084,4-(Di-m-tolyl-amino)-benzaldehyde,,,,Xiaobo Li (xli),,,,041188,,,1 g,1,g,,1,,g,,,,ROOM,,,,,,,,301.3890076,"InChI=1S/C21H19NO/c1-16-5-3-7-20(13-16)22(21-8-4-6-17(2)14-21)19-11-9-18(15-23)10-12-19/h3-15H,1-2H3",18326015,,,,,,,,,,,,,,
,3817,Fluorochem,Materials Innovation Factory,332411-18-4,,23/08/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 2,Cupboard 4 > Box 2,,4-(Di-m-tolyl-amino)-benzaldehyde,,,,Xiaobo Li (xli),,,,041188,,,1 g,1,g,,1,,g,,,,ROOM,,,,,,,,301.3890076,"InChI=1S/C21H19NO/c1-16-5-3-7-20(13-16)22(21-8-4-6-17(2)14-21)19-11-9-18(15-23)10-12-19/h3-15H,1-2H3",18326015,,,,,,,,,,,,,,
,9079,Fluorochem,Materials Innovation Factory,332411-18-4,,11/10/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,FC07 (White cupboard),FC07 (White cupboard),,4-(Di-m-tolyl-amino)-benzaldehyde,,,,Xiaobo Li (xli),,,,041188,,,1 g,1,g,1 g,1,1,g,,,,ROOM,,,,,,,,301.3890076,"InChI=1S/C21H19NO/c1-16-5-3-7-20(13-16)22(21-8-4-6-17(2)14-21)19-11-9-18(15-23)10-12-19/h3-15H,1-2H3",18326015,,,,,,,,,,,,,,
,4663,Aldrich,Materials Innovation Factory,33255-13-9,,16/10/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 4);Acute toxicity, Oral (Category 4);Serious eye damage/eye irritation (Category 1)",,H302;H318;H413,GHS_05;GHS_07,Synthetic Laboratory,Box 2,Cupboard 4 > Box 2,,"3,6-Dibromo-9-ethylcarbazole",,,,Marc Little (malittle),,,,731951-1G,,,1 g,1,g,,1,,g,Danger,,,ROOM,,,,,,0,,353.0570068,"InChI=1S/C14H11Br2N/c1-2-17-13-5-3-9(15)7-11(13)12-8-10(16)4-6-14(12)17/h3-8H,2H2,1H3",631855,,,,,,,,,,,,,,
,9122,Aldrich,Materials Innovation Factory,33255-13-9,,23/10/2019,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 4);Acute toxicity, Oral (Category 4);Serious eye damage/eye irritation (Category 1)",,H302;H318;H413,GHS_05;GHS_07,Synthetic Laboratory,Box 2,Cupboard 4 > Box 2,,"3,6-Dibromo-9-ethylcarbazole",,,,Hui Gao (hgao),,,,731951-1G,,,1g,1,g,,1,,g,Danger,,,ROOM,,,,,,0,,353.0570068,"InChI=1S/C14H11Br2N/c1-2-17-13-5-3-9(15)7-11(13)12-8-10(16)4-6-14(12)17/h3-8H,2H2,1H3",631855,,,,,,,,,,,,,,
,6521,Fluka,Materials Innovation Factory,333-20-0,,01/11/2017,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 3);Acute toxicity, Oral (Category 4);Acute toxicity, Dermal (Category 4);Acute toxicity, Inhalation (Category 4)",EUH032,H302;H312;H332;H412,GHS_07,Synthetic Laboratory,FC24 (White cupboard),FC24 (White cupboard),,Potassium Thiocyanate,,,,Rob Clowes (rob123),,,,207799-100G,,,100G,100,g,100G,100,100,g,Warning,,,ROOM,,,,,,0,,97.18299866,InChI=1S/CHNS.K/c2-1-3;/h3H;/q;+1/p-1,516872,,,,,,,,,,,,,,
,7459,Alfa Aesar,Materials Innovation Factory,333-20-0,,27/06/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 10,Cupboard 8 > Box 10,,Potassium thiocyanate,,,,Marc Little (malittle),,,,35602,,,1 l,1,l,1 l,1000,1000,ml,,,,ROOM,,,,,,,,360.8819885,InChI=1S/C12H4Cl6/c13-7-3-11(17)9(15)1-5(7)6-2-10(16)12(18)4-8(6)14/h1-4H,,Potassium thiocyanate,,,,,,,,,,,,,
,8157,fluorchem,Materials Innovation Factory,333-27-7,,15/01/2019,,Cooper Group,Flammable liquids (Category 2),,H225;H314,GHS_02,Synthetic Laboratory,Fridge 3,Fridge 3,,methyl trifluoromethanesulfonate,,,,Andrew Marsh (smarsh),II,,P210;P260;P301 + P330;P303 + P361;P304 + P340;P305 + P351,006835,,,50 g,50,g,,50,,g,Danger,,Liquid,,,,8,3,,2920,,164.1040039,"InChI=1S/C2H3F3O3S/c1-8-9(6,7)2(3,4)5/h1H3",9526,,,,,,,,,,,,,,
,8165,fluorchem,Materials Innovation Factory,333-27-7,,15/01/2019,,Cooper Group,Flammable liquids (Category 2),,H225;H314,GHS_02,Synthetic Laboratory,Fridge 3,Fridge 3,,methyl trifluoromethanesulfonate,,,,Andrew Marsh (smarsh),II,,P210;P260;P301 + P330;P303 + P361;P304 + P340;P305 + P351,006835,,,50 g,50,g,,50,,g,Danger,,Liquid,,,,8,3,,2920,,164.1040039,"InChI=1S/C2H3F3O3S/c1-8-9(6,7)2(3,4)5/h1H3",9526,,,,,,,,,,,,,,
,3640,Aldrich,Materials Innovation Factory,333432-27-2,,06/12/2017,,Cooper Group,"Acute toxicity, Oral (Category 3);Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H301;H315;H319;H335,GHS_06,Synthetic Laboratory,Box 9,Cupboard 3 > Box 9,MKBT9151V,"4,7-Dibromo-[1,2,5]thiadiazolo[3,4-c]pyridine",,,,Marc Little (malittle),III,,P280;P301 + P310 + P330;P305 + P351 + P338;P337 + P313,798282-1G,,97%,1 g,1,g,,1,,g,Danger,,Solid,,,,6.1,,,2811,,294.9590149,InChI=1S/C5HBr2N3S/c6-2-1-8-5(7)4-3(2)9-11-10-4/h1H,58129789,,,,,,,,,,,,,,
,3246,Fluorochem,Materials Innovation Factory,333432-27-2,,14/02/2018,,Cooper Group,"Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H315;H319;H335,GHS_07,Synthetic Laboratory,Box 9,Cupboard 3 > Box 9,,"4,7-Dibromo-[1,2,5]thiadiazolo[3,4-c]pyridine",,,,Marc Little (malittle),,,P264;P302 + P352;P304 + P340;P305 + P351;P332 + P313;P337 + P313,327530,,,250mg,250,mg,,0.25,,g,Warning,,Solid,,,,,,,0,,294.9590149,InChI=1S/C5HBr2N3S/c6-2-1-8-5(7)4-3(2)9-11-10-4/h1H,58129789,,,,,,,,,,,,,,
,5011,Aldrich,Materials Innovation Factory,3336-58-1,,11/10/2017,,Cooper Group,"Skin corrosion/irritation (Category 2);Serious eye damage/eye irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H315;H319;H335,GHS_07,Synthetic Laboratory,Box 1,Cupboard 2 > Box 1,,Ammonium trifluoroacetate,,,,Thomas Fellowes (thomas.fellows),,,,238732-25G,,,25 g,25,g,,25,,g,Warning,,,ROOM,,,,,,0,,131.0529938,"InChI=1S/C2HF3O2.H3N/c3-2(4,5)1(6)7;/h(H,6,7);1H3",2724268,,,,,,,,,,,,,,
,5188,Alfa Aesar,Materials Innovation Factory,3344-70-5,,11/10/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 1,Cupboard 4 > Box 1,10188077,"1,12-dibromododecane",,,,Marc Little (malittle),,,,B21254,,,5g,5,g,,5,,g,,,,ROOM,,,,,,0,,328.1319885,InChI=1S/C12H24Br2/c13-11-9-7-5-3-1-2-4-6-8-10-12-14/h1-12H2,18766,,,,,,,,,,,,,,
,11117,Sigma-Aldrich,Materials Innovation Factory,335-64-8,,20/10/2021,,Cooper Group,Skin corrosion/irritation (Category 1B);Eye irritation (Category 1),,H314,GHS_05,Synthetic Laboratory,FC18 (White cupboard),FC18 (White cupboard),,Pentadecafluorooctanoyl chloride,,,,John Ward (jward),II,,P280;P305 + P351 + P338;P310,290904,,97%,5 g,5,g,,5,,g,Danger,,Liquid,,,,8,,,3265,,432.51,"InChI=1S/C8ClF15O/c9-1(25)2(10,11)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)24",78978,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanoyl chloride",,,,,,,,,,,,,
,10868,Manchester Organics,Materials Innovation Factory,335-70-6,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Fridge 3,Fridge 3,,"1,8-diiodoperfluorooctane",,,,Megan O'Shaughnessy (moshaughnessy),,,,H24776,,,2 g,2,g,2 g,2,2,g,,,,FRIDGE,,,,,,,,653.8640137,"InChI=1S/C8F16I2/c9-1(10,3(13,14)5(17,18)7(21,22)25)2(11,12)4(15,16)6(19,20)8(23,24)26",528190,"1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluoro-1,8-diiodooctane",,,,,,,,,,,,,
,10335,Fluorochem,Materials Innovation Factory,3354-82-3,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 4,Cupboard 10 > Box 4,FCB044889,"2,4,6-tribromobenzene-1,3,5-triol",,,,Xinxin Lin (xinxin.lin),,,,375698,,,1 g,1,g,1 g,1,1,g,,,,,,,,,,,,362.7990112,InChI=1S/C6H3Br3O3/c7-1-4(10)2(8)6(12)3(9)5(1)11/h10-12H,76885,,,,,,,,,,,,,,
,7543,Fluorochem,Materials Innovation Factory,3354-82-3,,06/07/2018,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 7,Cupboard 10 > Box 7,,"2,4,6-tribromobenzene-1,3,5-triol",,,,Alex James (amjames),,,,375698,,,1 g,1,g,1 g,1,1,g,,,,,,,,,,,,362.7990112,InChI=1S/C6H3Br3O3/c7-1-4(10)2(8)6(12)3(9)5(1)11/h10-12H,76885,,,,,,,,,,,,,,
,9084,Fluorochem,Materials Innovation Factory,33626-98-1,,11/10/2019,,Cooper Group,"Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H302;H315;H319;H335,GHS_07,Synthetic Laboratory,Box 6,Cupboard 2 > Box 6,,Methyl 6-bromo-2-naphthoate,Flammability: 0; Health: 0; Instability/reactivity: 0,,,Thomas Fellowes (thomas.fellows),,,P264;P302 + P352;P304 + P340;P305 + P351;P332 + P313;P337 + P313,212416,,,10 g,10,g,10 g,10,10,g,Warning,,Solid,,,,,,,,,265.1059875,"InChI=1S/C12H9BrO2/c1-15-12(14)10-3-2-9-7-11(13)5-4-8(9)6-10/h2-7H,1H3",854134,,,,,,,,,,,,,,
,9021,Fluorochem,Materials Innovation Factory,33626-98-1,,27/09/2019,,Cooper Group,"Acute toxicity, Oral (Category 4);Skin corrosion/irritation (Category 2);Specific target organ toxicity - single exposure (Category 3, H335)",,H302;H315;H319;H335,GHS_07,Synthetic Laboratory,Box 10,Cupboard 7 > Box 10,,Methyl 6-bromo-2-naphthoate,Flammability: 0; Health: 0; Instability/reactivity: 0,,,Alex James (amjames),,,P264;P302 + P352;P304 + P340;P305 + P351;P332 + P313;P337 + P313,212416,,,1 g,1,g,,1,,g,Warning,,Solid,,,,,,,,,265.1059875,"InChI=1S/C12H9BrO2/c1-15-12(14)10-3-2-9-7-11(13)5-4-8(9)6-10/h2-7H,1H3",854134,,,,,,,,,,,,,,
,6797,TCI,Materials Innovation Factory,3363-97-1,,03/11/2017,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 6,Cupboard 2 > Box 6,,"1,4-BISBENZIL",,,,Thomas Fellowes (thomas.fellows),,,,B1480,,,5 g,5,g,,5,,g,,,,,,,,,,0,,342.3500061,InChI=1S/C22H14O4/c23-19(15-7-3-1-4-8-15)21(25)17-11-13-18(14-12-17)22(26)20(24)16-9-5-2-6-10-16/h1-14H,137905,,,,,,,,,,,,,,
,9670,TCI,Materials Innovation Factory,3365-85-3,,04/02/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 1,Cupboard 4 > Box 1,,"4,4""-diamino-p-terphenyl",,,,Liang Luo (liang92),,,,D3390,,98%,5 g,5,g,5 g,5,5,g,,,,ROOM,,,,,,0,,260.3399963,"InChI=1S/C18H16N2/c19-17-9-5-15(6-10-17)13-1-2-14(4-3-13)16-7-11-18(20)12-8-16/h1-12H,19-20H2",104949,,,,,,,,,,,,,,
,10968,TCI,Materials Innovation Factory,3365-85-3,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 5,Cupboard 4 > Box 5,,"4,4""-diamino-p-terphenyl",,,,Xue Wang (xwang),,,,D3390,,98%,5g,5,g,5g,5,5,g,,,,ROOM,,,,,,0,,260.3399963,"InChI=1S/C18H16N2/c19-17-9-5-15(6-10-17)13-1-2-14(4-3-13)16-7-11-18(20)12-8-16/h1-12H,19-20H2",104949,,,,,,,,,,,,,,
,6211,TCI,Materials Innovation Factory,3365-85-3,,19/10/2021,,Cooper Group,No data available,,,,Synthetic Laboratory,Box 5,Cupboard 4 > Box 5,,"4,4""-diamino-p-terphenyl",,,,Xue Wang (xwang),,,,D3390,,98%,1g,1,g,1g,1,1,g,,,,ROOM,,,,,,0,,260.3399963,"InChI=1S/C18H16N2/c19-17-9-5-15(6-10-17)13-1-2-14(4-3-13)16-7-11-18(20)12-8-16/h1-12H,19-20H2",104949,,,,,,,,,,,,,,
,8623,TCI,Materials Innovation Factory,3365-85-3,,18/04/2019,,Cooper Group,No data available,,,,Synthetic Laboratory,FC05 (White cupboard),FC05 (White cupboard),,"4,4""-diamino-p-terphenyl",,,,Rob Clowes (rob123),,,,D3390,,98%,1g,1,g,,1,,g,,,,ROOM,,,,,,0,,260.3399963,"InChI=1S/C18H16N2/c19-17-9-5-15(6-10-17)13-1-2-14(4-3-13)16-7-11-18(20)12-8-16/h1-12H,19-20H2",104949,,,,,,,,,,,,,,
,7564,Aldrich,Materials Innovation Factory,33685-54-0,,16/07/2018,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 2);Acute toxicity, Dermal (Category 1);Acute toxicity, Inhalation (Category 2)",,H310;H330;H411,GHS_06;GHS_09,Synthetic Laboratory,FC20 (White cupboard),FC20 (White cupboard),,"1,1,2,2-Tetrachloroethane-d2",,,,Donglin He (dhe),II,,P260;P273;P280;P284;P302 + P350;P310,358703,,,5 g,5,g,,5,,g,Danger,,Liquid,ROOM,,,6.1,,,1702,,169.8621979,"InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H/i1D,2D",118531,,,,,,,,,,,,,,
,8685,Aldrich,Materials Innovation Factory,33685-54-0,,09/05/2019,,Cooper Group,"Hazardous to the aquatic environment, long-term (chronic), (Category 2);Acute toxicity, Dermal (Category 1);Acute toxicity, Inhalation (Category 2)",,H310;H330;H411,GHS_06;GHS_09,Synthetic Laboratory,FC14 (White cupboard),FC14 (White cupboard),,"1,1,2,2-Tetrachloroethane-d2",,,,Liang Luo (liang92),II,,P260;P273;P280;P284;P302 + P350;P310,358703,,,5 g,5,g,,5,,g,Danger,,Liquid,ROOM,,,6.1,,,1702,,169.8621979,"InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H/i1D,2D",118531,,,,,,,,,,,,,,
